profile,days_in_a_row,use_days,finish_late,start_early,correct,mean_time,min_time,max_time,attemps
disengaged,1,5,21,9,0.45221967892721293,64.6,40.8,64.5,106
engaged,5,6,9,3,0.6044378434307873,29.164,14.9,129.7,1037
engaged,6,11,7,2,0.9786360900616273,22.128,18.1,121.3,1963
engaged,5,9,1,4,0.8618484697071835,39.232,22,132.9,1242
engaged,5,13,12,2,0.8031956480117515,50.775,26.3,101,1204
utiliterian,4,3,1,2,0.4903392891166732,47.808,34,166.4,245
utiliterian,3,2,3,4,0.5744175025494769,32.375,24.5,86.5,244
utiliterian,2,1,2,3,0.8654275831533595,44.766,23,143.9,194
utiliterian,4,1,2,3,0.6270203475607559,62.232,30.4,70.2,321
engaged,6,11,19,2,0.5402655365178362,26.335,11.4,103.5,1871
engaged,7,6,8,4,0.5215665029827505,22.85,23.5,112.7,1959
engaged,5,13,12,1,0.5896491061430424,35.456,17.6,138.9,965
engaged,5,7,6,4,0.5725460427347571,53.973,19.9,127.9,1085
engaged,5,9,9,6,0.8381926500005648,24.817,21.3,100.8,1389
disengaged,1,3,10,4,0.38848168561235075,15.294,25.9,42.5,147
utiliterian,4,2,1,1,0.922635178361088,68.603,16.2,104.5,204
engaged,6,13,11,3,0.7071229667635635,16.218,12.5,128.2,504
disengaged,1,3,6,5,0.383665666077286,57.334,46.5,16.7,74
engaged,5,7,7,4,0.9276732184225693,25.499,17.8,98.1,1535
engaged,4,4,13,4,0.9419802125776187,17.563,15.9,121.6,838
engaged,5,9,16,3,0.6484418869949877,27.147,22,149.4,772
engaged,5,13,6,2,0.5514859007671475,30.345,22.3,110.1,1423
disengaged,1,3,27,8,0.5336537886410953,60.99,31,87.4,44
engaged,6,10,12,2,0.6715300000505522,47.475,14.5,150,652
engaged,6,7,12,4,0.5403564758598804,26.17,19,135,67
engaged,4,13,12,3,0.5074133038287982,53.082,26,64.3,1515
utiliterian,1,1,1,4,0.9278431105660274,51.698,29.8,156.2,221
engaged,4,14,5,3,0.760436994372867,27.839,20.6,106.3,1326
engaged,6,5,15,2,0.7126752104377374,19.274,26.5,114.2,1140
utiliterian,2,1,1,4,0.45883689254987986,74.588,23.4,40.2,229
engaged,4,12,13,4,0.9285302420612425,22.47,15.4,135,1290
disengaged,0,5,15,5,0.4062642331235111,39.605,23.4,106.7,87
engaged,5,6,13,3,0.6878781026462093,62.647,26.4,115.6,1797
disengaged,0,3,1,22,0.6386172284372151,35.847,21.9,112.9,120
disengaged,1,4,16,19,0.5372959000989794,61.505,5.8,26.8,45
engaged,4,5,9,3,0.7919716357719153,29.239,13.6,106.8,841
utiliterian,4,1,1,2,0.5662313312524929,17.403,24.8,51.8,110
utiliterian,5,3,2,4,0.6999259446049109,55.669,24.5,196.1,70
utiliterian,3,3,2,2,0.4588196606375277,34.993,26.4,123,318
disengaged,0,4,15,9,0.4204870720393956,65.133,33.3,75.8,12
disengaged,2,2,17,2,0.4509399800561369,54.441,37.8,122.9,117
disengaged,1,3,1,10,0.6290912930853665,48.074,14.6,86.9,74
disengaged,1,5,4,7,0.5099336441606284,28.626,24.6,144,148
engaged,6,12,11,3,0.8089489934500307,9.937,13.4,131.2,1318
engaged,3,10,4,4,0.5868554466869682,29.763,16.7,105.4,596
utiliterian,3,2,4,3,0.7884456693893298,49.778,30.5,85.7,176
engaged,4,11,5,3,0.5044428844703361,32.547,30.4,133.6,611
engaged,6,7,13,2,0.7677256372990087,28.849,26.4,108.2,782
engaged,5,12,12,2,0.8010997191304341,47.871,15.3,96.2,1024
engaged,6,10,17,3,0.9122670512879267,86.478,22.8,101.2,1387
engaged,6,9,13,3,0.5386014464311302,45.938,18.9,110,642
utiliterian,4,2,2,2,0.6855290411505848,88.45,23.5,128.9,121
utiliterian,4,2,3,4,0.7453897916013374,11.413,34.7,8.7,190
utiliterian,3,2,2,3,0.5268007112201303,60.505,25,117.8,202
utiliterian,4,3,2,2,0.835735924122855,24.485,26.8,84.1,222
engaged,4,11,6,4,0.843869440141134,35.533,24.9,156.1,1523
disengaged,0,5,15,11,0.38479645252227784,30.626,41.5,108.8,41
disengaged,2,4,17,21,0.6346970373764634,40.828,38.2,107.6,137
engaged,4,6,9,2,0.851727839326486,61.938,12,91.5,705
engaged,5,4,6,2,0.5938191886525601,38.357,17.3,128.7,1517
engaged,5,9,6,3,0.7827532888622954,47.729,21.1,95.9,331
engaged,5,9,16,3,0.6416152177844197,16.125,15.7,128.4,1046
utiliterian,3,2,3,3,0.7292139812372624,84.419,28,152.1,198
engaged,6,6,13,4,0.7057852587895468,28.691,16.7,112.5,877
disengaged,1,3,11,14,0.5668856074102223,3.28,31.5,25.5,85
engaged,6,7,14,3,0.7727380063151941,37.985,16.6,114.1,1149
engaged,4,6,10,3,0.9875736123649403,37.704,20.3,111.5,673
engaged,4,5,9,3,0.6856211357517168,20.832,15.4,83.8,1272
utiliterian,3,2,3,2,0.880639516795054,12.672,27.4,62.8,197
engaged,3,9,16,5,0.6566991056315601,19.23,21.3,99.2,1210
engaged,5,8,10,3,0.6942155831493437,37.406,24.1,115.6,349
engaged,6,9,12,1,0.8977054880233482,9.382,27.9,115.2,688
engaged,6,15,12,2,0.5368026158539578,22.141,18.9,102.3,801
engaged,5,10,12,3,0.7620925237424672,22.258,20.7,77.6,1467
disengaged,1,5,1,2,0.4920075091533363,63.994,21.8,11.3,120
disengaged,3,2,10,10,0.6071180801838636,70.003,31.7,73.6,67
utiliterian,5,2,3,3,0.5320579922292381,31.856,23.1,36.3,234
disengaged,1,3,20,9,0.38187307864427567,42.601,32.4,79.1,157
engaged,5,9,2,3,0.6460347314132378,18.383,13.9,126,1096
engaged,7,6,3,4,0.5925900157308206,29.381,22.8,138.6,355
engaged,6,14,12,1,0.6150307033676654,32.393,18,175,931
engaged,6,9,13,2,0.5326139744138345,27.937,23.8,136.6,739
utiliterian,3,2,3,4,0.6580777472583577,44.765,37.1,94.9,231
engaged,4,7,8,4,0.5835912692127749,21.012,22.2,99.2,1535
engaged,5,13,13,4,0.648726021987386,5.396,27.2,103.9,1669
engaged,4,5,5,3,0.5692922566086054,23.03,15.2,94.7,1447
engaged,5,11,9,2,0.9833765141665936,19.683,17.8,67.2,1316
disengaged,1,2,12,18,0.35490039829164743,18.782,21.4,48.6,72
utiliterian,3,1,1,1,0.7867130940314382,42.006,30.4,53.4,158
disengaged,0,4,16,12,0.3334083276800811,26.955,33.6,38,114
utiliterian,5,2,2,2,0.8915715172654017,72.663,32.2,88.7,221
engaged,5,6,10,4,0.7808005008846521,14.195,19.7,100.6,407
engaged,5,6,8,3,0.7459086168091744,17.032,26.8,111.9,1003
utiliterian,2,2,2,4,0.7867027445929125,34.514,26.3,107.9,58
utiliterian,5,2,2,1,0.6163282893132418,46.298,24.9,125.7,86
engaged,5,4,8,2,0.5256146938772872,49.432,16.5,127.6,500
engaged,4,4,3,3,0.69218591414392,53.803,19.9,80.3,676
engaged,5,7,22,2,0.5847779471660033,43.644,18.2,103.3,1173
engaged,6,13,15,2,0.5782731017097831,39.775,19.8,92.4,1622
utiliterian,3,1,3,2,0.4631271742284298,29.465,34.5,120.8,276
engaged,6,8,10,2,0.6186503359349445,34.189,9.7,125.2,880
utiliterian,2,1,4,3,0.7760927215451374,14.392,18.2,100.9,262
engaged,6,10,6,2,0.8384469833690673,33.628,18.8,132,1418
utiliterian,3,2,2,2,0.6402488522464409,32.902,21.4,63.7,314
engaged,6,8,18,3,0.9468831028789282,39.491,21.3,134.6,820
disengaged,0,2,0,13,0.649575805477798,30.05,37.1,30.4,196
utiliterian,3,1,1,4,0.7851203904021531,54.206,22.4,16.4,180
disengaged,1,6,3,15,0.6214358136057854,57.009,10.3,33.1,16
utiliterian,3,2,2,2,0.9055656812153756,48.806,25.5,9.8,244
disengaged,1,3,13,14,0.3298369687050581,30.096,24,67.4,49
engaged,5,15,7,3,0.6949543789960444,42.423,25.4,105,1678
utiliterian,5,1,1,2,0.6756717927521094,3.12,21.3,14.6,158
engaged,5,10,14,2,0.8482949996832758,23.077,18.8,160.6,1483
disengaged,2,4,1,14,0.5416917146183551,5.331,39.7,41.1,144
engaged,5,14,16,4,0.5138767992611974,0.125,17,109.7,1508
engaged,5,11,11,2,0.8110012176912278,12.924,22.4,106.9,1740
engaged,5,13,7,3,0.8141680668340996,60.993,18.7,130.1,993
engaged,5,12,9,3,0.6682179103372619,27.027,15.3,106.4,1714
engaged,6,9,15,2,0.9857297469861805,28.494,22,119.5,1394
engaged,3,11,2,3,0.840950817684643,34.63,19,80.9,687
engaged,4,11,12,2,0.8464238001033664,45.37,17.8,109.4,1554
engaged,5,14,1,2,0.8450534387957305,33.371,18.9,121.6,526
utiliterian,3,4,1,2,0.8635083787841722,17.051,23.8,87.3,264
disengaged,0,3,7,3,0.5201084395870567,31.328,35.8,82.6,78
utiliterian,3,4,3,3,0.5805381088750436,1.591,24,104.2,201
engaged,5,7,3,2,0.8533993095625192,25.305,16,96.4,797
engaged,6,8,13,3,0.9479583885986358,10.362,17.8,118.8,935
utiliterian,2,3,3,4,0.46520472508855165,50.877,20.4,70,157
engaged,4,8,1,3,0.5078746783547103,23.169,24.7,74.7,1375
disengaged,2,3,11,16,0.5284580945968629,28.323,15.6,102.3,132
disengaged,2,4,10,3,0.43943393025547267,47.382,10.4,1.2,32
engaged,6,12,10,2,0.9854176280787215,37.077,23.8,91.7,1564
engaged,6,11,12,3,0.9237215127795935,23.977,24.1,99.1,956
engaged,5,6,3,4,0.8166292128153145,54.938,16.2,152.7,851
disengaged,3,4,17,14,0.343444284517318,32.952,37,58.6,47
disengaged,0,4,1,16,0.4919534715823829,6.721,25.2,5.1,160
engaged,7,10,18,3,0.8086142314132303,29.207,21.9,104.1,1089
utiliterian,3,1,1,5,0.7165438181720674,27.838,28,85,232
utiliterian,3,1,1,2,0.876337968208827,33.022,20,126.5,86
engaged,4,4,18,4,0.6020583363715559,42.754,23.3,142.1,1749
engaged,4,4,10,2,0.9321027738042176,38.452,18.1,111,1189
engaged,5,6,8,3,0.9964167274301872,15.091,24.4,155.4,663
engaged,5,11,18,4,0.9900999267119914,33.962,16.4,126.5,662
utiliterian,3,0,2,4,0.4513921686913818,15.692,29,108.7,144
utiliterian,3,2,2,4,0.458864943520166,44.926,22.2,92,141
engaged,6,6,4,2,0.8164151806849986,37.689,19.3,96.7,589
engaged,4,9,15,4,0.5377521574264392,21.854,16.7,147.5,1697
engaged,6,13,6,4,0.7388140294933692,24.607,18.4,133.4,1674
disengaged,1,3,2,17,0.3748550683259964,44.361,25.2,76.2,114
engaged,5,8,1,3,0.6957047451287508,31.395,20.6,130.8,812
disengaged,1,3,18,12,0.31477966289967296,35.446,29.4,126.1,45
utiliterian,1,3,1,3,0.663961920235306,39.501,25.1,60.7,255
engaged,5,8,15,4,0.7425413044402376,5.661,19.5,86.2,540
disengaged,2,3,6,15,0.3673818911425769,61.971,43.2,77.3,59
